sector,year,share
Consumed natural gas CO2 emissions,2007,20.531400966183575
Consumed natural gas CO2 emissions,2008,19.843049327354258
Consumed natural gas CO2 emissions,2009,17.40976645435244
Consumed natural gas CO2 emissions,2010,18.055555555555554
Consumed natural gas CO2 emissions,2011,15.207373271889402
Consumed natural gas CO2 emissions,2012,14.423076923076922
Consumed natural gas CO2 emissions,2013,14.322033898305083
Consumed natural gas CO2 emissions,2014,12.835570469798657
Consumed natural gas CO2 emissions,2015,13.350340136054422
Consumed natural gas CO2 emissions,2016,14.977973568281937
Consumed natural gas CO2 emissions,2017,17.24137931034483
Consumed natural gas CO2 emissions,2018,16.917293233082706
Consumed natural gas CO2 emissions,2019,17.754318618042227
Consumed natural gas CO2 emissions,2020,16.156787762906312
Consumed natural gas CO2 emissions,2021,16.358595194085026
Consumed natural gas CO2 emissions,2022,5.277973258268824
