date,Population,GDP per capita,Energy intensity,Carbon intensity,Emissions (F),Population Growth Rate (%),GDP per capita Growth Rate (%),Energy intensity Growth Rate (%),Carbon intensity Growth Rate (%),Emissions (F) Growth Rate (%)
1992,80287.0,0.03585761082117902,0.005055055750460245,65.48477977049406,953.0,0.49567535767483195,1.0975573868864048,-3.5615298289628297,-2.049805243590319,-4.028197381671702
1993,80810.0,0.03527162479891103,0.00507209767392906,64.81289340803762,937.0,0.6514130556628097,-1.6342026388492163,0.33712632085736055,-1.0260191220176784,-1.6789087093389297
1994,81085.0,0.03608682247024727,0.004878848979870818,63.813393107312976,911.0,0.34030441777007797,2.3111996569021356,-3.810034949672879,-1.5421318940849775,-2.774813233724653
1995,81238.0,0.03658878849799355,0.0048997443143587675,63.3067838505905,922.0,0.18869087994080286,1.390995364471735,0.4282841009049371,-0.7938917397332693,1.2074643249176729
1996,81414.0,0.03689660254992999,0.004919604514131629,63.40506157802138,937.0,0.21664738176715329,0.8412797049930134,0.40533134993719727,0.15524043625850115,1.6268980477223427
1997,81508.0,0.037568091475683366,0.004759805362333039,62.22984562607204,907.0,0.1154592576215393,1.8199207497348526,-3.2482113417768548,-1.8535049453476362,-3.2017075773745995
1998,81476.0,0.03828980313221071,0.004650767702022631,62.03046385002412,900.0,-0.03925994994356383,1.9210761797534681,-2.290800820833624,-0.3203957426569415,-0.7717750826901874
1999,81417.0,0.03908029035705074,0.004464454082594757,61.034846884899686,867.0,-0.07241396239383377,2.0644849546772486,-4.00608311068398,-1.6050451718878236,-3.6666666666666665
2000,81447.0,0.040280182204378304,0.0043237723656536714,61.473387381036304,872.0,0.03684734146431335,3.070324801491868,-3.1511516153688586,0.7185083907290258,0.5767012687427913
2001,81488.0,0.0409655409385431,0.004328380564376011,61.45754031420859,888.0,0.05033948457278967,1.7014787338531443,0.10657819914260966,-0.02577874345769178,1.834862385321101
2002,81562.0,0.040851131654446926,0.004262432846123833,61.4702154626109,873.0,0.09081091694482624,-0.27928176090195156,-1.5236118282885958,0.02062423640371182,-1.6891891891891893
2003,81568.0,0.040624999999999994,0.0042807134019374115,61.614381388790974,874.0,0.007356366935582746,-0.5535505267265115,0.4288761013608023,0.23452972320840626,0.11454753722794961
2004,81494.0,0.040947799838024886,0.004252921786035362,61.02029312288613,866.0,-0.09072185170655159,0.7945842166766551,-0.6492286049673804,-0.9642038960938459,-0.9153318077803204
2005,81383.0,0.041434943415701066,0.004144598321520715,60.38923869490555,844.0,-0.13620634647949542,1.189669724876914,-2.547036366159642,-1.0341714136143634,-2.5404157043879905
2006,81240.0,0.04318562284588873,0.004049709269182533,60.4588963963964,859.0,-0.17571237236277845,4.22512808241044,-2.2894631753690726,0.11534787156825574,1.7772511848341233
2007,81058.0,0.04457672284043525,0.003758060498713088,61.271080344649825,832.0,-0.224027572624323,3.2212109097297743,-7.201721187464825,1.3433654874021759,-3.143189755529686
2008,80857.0,0.04497569783692197,0.003808502447340923,60.43321299638989,837.0,-0.2479705889609909,0.8950298969147532,1.3422335442739288,-1.3674760483199089,0.6009615384615385
2009,80586.0,0.0426463653736381,0.0037876451246835626,60.075286164246755,782.0,-0.3351596027554819,-5.179091321117091,-0.5476515492834443,-0.5922684140002903,-6.5710872162485074
2010,80320.0,0.04450323705179283,0.0038313050776332355,60.02190580503834,822.0,-0.3300821482639665,4.354114733778831,1.15269386419406,-0.08885577184347587,5.115089514066496
2011,80288.0,0.046228577122359504,0.003502532600495743,61.0,793.0,-0.0398406374501992,3.8768866825546353,-8.581213724191068,1.6295620437956178,-3.5279805352798053
2012,80450.0,0.04643629583592294,0.0035055409818512766,61.621869273060476,807.0,0.2017736149860502,0.44932967115478284,0.08589160183998894,1.0194578246893045,1.7654476670870116
2013,80676.0,0.04654172244533691,0.0035405347821455204,61.8324055965097,822.0,0.28091982597886883,0.22703492497868835,0.998242510226296,0.3416584500484588,1.858736059479554
2014,81036.0,0.04733822005034799,0.003334636740439509,61.28830519074422,784.0,0.4462293618920125,1.7113625434610134,-5.815450330959317,-0.879959950638241,-4.622871046228711
2015,81809.0,0.04754978058648804,0.00329974293059126,61.38984107198504,788.0,0.9538970334172466,0.4469127396742779,-1.0464051278835846,0.16566925928987003,0.5102040816326531
2016,82392.0,0.04825832605107292,0.0032521817861723796,61.01616270976723,789.0,0.7126355290982654,1.4901130054556464,-1.4413590821863842,-0.6086973930745943,0.12690355329949238
2017,82691.0,0.04952896929532839,0.003235667545658756,60.74554784183519,805.0,0.3628993106126808,2.633003148328685,-0.507789588633668,-0.44351341663234467,2.027883396704689
2018,82934.0,0.04994332842983577,0.0030997102848865283,60.90817041825687,782.0,0.2938651122854966,0.8365995505310528,-4.201830344240379,0.2677111034459799,-2.857142857142857
2019,83111.0,0.05034953255285101,0.0029453233283945894,58.49898580121704,721.0,0.21342272168230159,0.8133300999069454,-4.980689880750921,-3.9554375061604135,-7.8005115089514065
2020,83159.0,0.04807657619740497,0.002783641820910455,56.69871506873933,631.0,0.057754087906534635,-4.5143544342942175,-5.489431531181413,-3.077439220220212,-12.482662968099861
2021,83206.0,0.04979088046535105,0.0028564532091047336,57.03904005408146,675.0,0.05651823615002585,3.5657786047555833,2.615688112145981,0.6002340351620522,6.9730586370839935
2022,83938.0,0.05007028997593462,0.0026394308556200625,60.218155593617595,668.0,0.8797442492127971,0.5611660367765697,-7.597616260365419,5.573578265906757,-1.037037037037037
