date,CO2 Intensity,sdg7_co2,Difference
2000,1.6421845574387948,1.6,0.04218455743879468
2001,1.6383763837638377,1.6,0.03837638376383756
2002,1.575812274368231,1.57,0.005812274368230952
2003,1.5551601423487544,1.52,0.03516014234875442
2004,1.5219683655536027,1.48,0.04196836555360273
2005,1.4859154929577465,1.44,0.04591549295774655
2006,1.4991273996509598,1.42,0.07912739965095983
2007,1.4444444444444444,1.37,0.07444444444444431
2008,1.4607329842931938,1.37,0.09073298429319365
2009,1.4428044280442804,1.36,0.08280442804428034
2010,1.452296819787986,1.38,0.07229681978798608
2011,1.4211469534050178,1.38,0.04114695340501795
2012,1.4514388489208634,1.35,0.1014388489208633
2013,1.481081081081081,1.36,0.12108108108108095
2014,1.4438305709023942,1.32,0.12383057090239413
2015,1.437956204379562,1.28,0.15795620437956193
2016,1.4319419237749547,1.28,0.15194192377495463
2017,1.4583333333333333,1.25,0.20833333333333326
2018,1.4428044280442804,1.22,0.22280442804428047
2019,1.3681214421252372,1.2,0.16812144212523727
2020,1.251984126984127,1.18,0.07198412698412704
2021,1.293103448275862,1.2,0.09310344827586214
